,rank,name,code,nowPrice,totalPrice,volume
0,1,삼성전자,005930,"50,700","3,026,680","26,334,984"
1,2,SK하이닉스,000660,"81,500","593,322","6,761,873"
2,3,삼성바이오로직스,207940,"622,000","411,546","148,670"
3,4,NAVER,035420,"226,000","371,235","3,052,197"
4,5,삼성전자우,005935,"42,850","352,607","3,079,806"
5,6,셀트리온,068270,"213,500","288,096","654,319"
6,7,LG화학,051910,"390,500","275,663","520,772"
7,8,삼성SDI,006400,"359,000","246,865","723,875"
8,9,카카오,035720,"263,500","229,664","1,632,418"
9,10,LG생활건강,051900,"1,370,000","213,969","41,244"
10,11,현대차,005380,"98,000","209,395","1,981,025"
11,12,현대모비스,012330,"198,000","188,208","383,624"
12,13,삼성물산,028260,"99,100","185,205","536,426"
13,14,SK텔레콤,017670,"216,000","174,411","465,513"
14,15,엔씨소프트,036570,"790,000","173,437","105,940"
15,16,SK,034730,"239,000","168,161","596,386"
16,17,POSCO,005490,"181,000","157,808","837,374"
17,18,삼성에스디에스,018260,"190,500","147,405","278,616"
18,19,신한지주,055550,"30,150","145,453","3,634,593"
19,20,KB금융,105560,"34,000","141,375","4,464,257"
20,21,기아차,000270,"34,250","138,837","4,998,326"
21,22,한국전력,015760,"21,600","138,664","2,157,653"
22,23,KT&G,033780,"83,900","115,188","973,063"
23,24,SK이노베이션,096770,"118,500","109,572","734,205"
24,25,LG,003550,"63,100","108,884","479,520"
25,26,LG전자,066570,"59,300","97,043","893,777"
26,27,아모레퍼시픽,090430,"163,000","95,287","379,236"
27,28,삼성전기,009150,"125,000","93,367","682,643"
28,29,삼성생명,032830,"45,700","91,400","1,128,016"
29,30,하나금융지주,086790,"29,750","89,322","3,895,452"
30,31,삼성화재,000810,"182,500","86,459","335,789"
31,32,S-Oil,010950,"70,700","79,596","455,983"
32,33,넷마블,251270,"92,300","79,190","706,918"
33,34,고려아연,010130,"378,000","71,329","50,222"
34,35,우리금융지주,316140,"9,130","65,943","6,503,860"
35,36,롯데케미칼,011170,"188,000","64,438","218,726"
36,37,한국조선해양,009540,"90,800","64,262","476,121"
37,38,KT,030200,"24,350","63,581","803,492"
38,39,LG유플러스,032640,"13,150","57,414","2,906,828"
39,40,기업은행,024110,"8,280","54,984","4,805,950"
40,41,오리온,271560,"132,000","52,188","155,923"
41,42,한온시스템,018880,"9,740","51,992","3,077,142"
42,43,강원랜드,035250,"24,200","51,774","1,813,212"
43,44,KODEX 200,069500,"26,775","51,274","6,195,302"
44,45,한진칼,180640,"86,300","51,064","2,449,215"
45,46,코웨이,021240,"66,600","49,151","693,593"
46,47,아모레G,002790,"57,800","47,661","242,797"
47,48,CJ제일제당,097950,"297,000","44,711","80,644"
48,49,현대중공업지주,267250,"270,500","42,735","55,718"
49,50,현대글로비스,086280,"113,000","42,375","168,341"
50,51,맥쿼리인프라,088980,"11,850","41,362","1,222,793"
51,52,미래에셋대우,006800,"6,170","40,618","9,266,456"
52,53,현대건설,000720,"34,200","38,084","1,309,883"
53,54,CJ대한통운,000120,"161,000","36,728","108,642"
54,55,LG디스플레이,034220,"10,200","36,497","3,823,625"
55,56,롯데지주,004990,"34,300","35,984","491,612"
56,57,더존비즈온,012510,"120,000","35,607","1,551,749"
57,58,에스원,012750,"93,200","35,415","111,185"
58,59,GS,078930,"37,700","35,029","624,263"
59,60,LG이노텍,011070,"147,500","34,909","341,392"
60,61,유한양행,000100,"51,900","34,699","574,040"
61,62,삼성카드,029780,"29,550","34,236","374,630"
62,63,포스코케미칼,003670,"55,500","33,848","560,155"
63,64,GS리테일,007070,"42,600","32,802","653,315"
64,65,대림산업,000210,"92,300","32,120","1,058,609"
65,66,이마트,139480,"113,500","31,639","919,125"
66,67,호텔신라,008770,"79,200","31,085","514,617"
67,68,KODEX 레버리지,122630,"11,160","30,869","78,295,601"
68,69,DB손해보험,005830,"43,400","30,727","1,050,244"
69,70,삼성중공업,010140,"4,815","30,334","11,602,624"
70,71,한국금융지주,071050,"52,700","29,368","614,236"
71,72,현대제철,004020,"21,850","29,158","1,282,836"
72,73,한국타이어앤테크놀로지,161390,"23,450","29,049","798,300"
73,74,BGF리테일,282330,"167,000","28,864","73,462"
74,75,TIGER 200,102110,"26,770","28,483","806,805"
75,76,한미약품,128940,"237,000","28,068","54,344"
76,77,한국가스공사,036460,"29,850","27,555","356,628"
77,78,NH투자증권,005940,"9,730","27,381","3,657,842"
78,79,CJ,001040,"91,900","26,814","141,459"
79,80,한화솔루션,009830,"16,150","25,818","1,336,505"
80,81,쌍용양회,003410,"5,070","25,546","689,278"
81,82,하이트진로,000080,"36,000","25,248","575,032"
82,83,롯데쇼핑,023530,"89,000","25,177","195,807"
83,84,삼성증권,016360,"27,950","24,959","1,117,235"
84,85,한국항공우주,047810,"25,350","24,710","974,696"
85,86,신세계,004170,"245,000","24,121","54,315"
86,87,두산밥캣,241560,"23,700","23,759","534,898"
87,88,삼성엔지니어링,028050,"12,100","23,716","2,485,797"
88,89,대우조선해양,042660,"21,800","23,371","920,136"
89,90,휠라홀딩스,081660,"38,450","23,359","715,134"
90,91,GS건설,006360,"28,550","22,868","893,097"
91,92,현대차2우B,005387,"60,200","21,964","206,577"
92,93,현대해상,001450,"24,250","21,680","409,106"
93,94,금호석유,011780,"70,900","21,602","162,924"
94,95,일진머티리얼즈,020150,"46,650","21,511","434,829"
95,96,SKC,011790,"57,100","21,432","440,111"
96,97,KODEX 단기채권,153130,"102,370","21,397","26,066"
97,98,KODEX 200선물인버스2X,252670,"6,025","21,094","152,588,620"
98,99,메리츠증권,008560,"3,285","20,279","5,964,533"
99,100,한샘,009240,"84,600","19,910","124,831"
100,101,오뚜기,007310,"551,000","19,865","10,016"
101,102,포스코인터내셔널,047050,"16,000","19,740","976,149"
102,103,대한항공,003490,"20,700","19,633","1,355,063"
103,104,농심,004370,"315,500","19,191","29,517"
104,105,팬오션,028670,"3,575","19,111","2,378,724"
105,106,제일기획,030000,"16,600","19,097","1,125,377"
106,107,한미사이언스,008930,"27,450","18,120","68,938"
107,108,TIGER 단기통안채,157450,"100,535","17,443","404,530"
108,109,키움증권,039490,"78,900","17,437","85,756"
109,110,현대엘리베이,017800,"63,300","17,217","123,644"
110,111,부광약품,003000,"26,400","17,117","4,219,597"
111,112,NHN,181710,"87,300","17,080","127,468"
112,113,동서,026960,"16,700","16,650","136,985"
113,114,BNK금융지주,138930,"5,080","16,558","3,748,832"
114,115,메리츠화재,000060,"14,550","16,540","87,439"
115,116,녹십자,006280,"141,500","16,536","90,133"
116,117,대우건설,047040,"3,830","15,918","2,491,999"
117,118,KG동부제철,016380,"15,700","15,701","1,154,268"
118,119,F&F,007700,"99,500","15,323","54,646"
119,120,한화,000880,"20,100","15,067","511,330"
120,121,LG생활건강우,051905,"715,000","15,013","4,893"
121,122,현대백화점,069960,"64,000","14,978","346,641"
122,123,HMM,011200,"4,725","14,957","5,208,264"
123,124,파미셀,005690,"24,100","14,450","37,643,687"
124,125,효성,004800,"67,300","14,181","79,134"
125,126,메리츠금융지주,138040,"10,050","14,093","116,106"
126,127,한올바이오파마,009420,"26,850","14,027","693,158"
127,128,신세계인터내셔날,031430,"195,000","13,923","38,725"
128,129,한전KPS,051600,"30,850","13,882","157,390"
129,130,현대차우,005385,"56,300","13,713","246,878"
130,131,LS ELECTRIC,010120,"45,550","13,665","114,331"
131,132,LG화학우,051915,"177,000","13,609","41,969"
132,133,영원무역,111770,"30,650","13,581","266,649"
133,134,현대미포조선,010620,"34,000","13,580","466,372"
134,135,KODEX WTI원유선물(H),261220,"5,380","13,478","14,843,170"
135,136,현대로템,064350,"15,750","13,388","625,465"
136,137,KODEX 종합채권(AA-이상)액티브,273130,"110,545","13,355","102,029"
137,138,한화생명,088350,"1,525","13,245","39,650,309"
138,139,HDC현대산업개발,294870,"19,950","13,149","5,232,295"
139,140,KBSTAR 200,148020,"26,915","13,054","735,515"
140,141,SK네트웍스,001740,"5,190","12,881","797,044"
141,142,KCC,002380,"143,500","12,752","467,315"
142,143,DB하이텍,000990,"28,600","12,698","1,441,917"
143,144,두산솔루스,336370,"41,350","12,649","1,002,846"
144,145,만도,204320,"26,650","12,514","400,311"
145,146,한화에어로스페이스,012450,"24,300","12,303","445,833"
146,147,더블유게임즈,192080,"67,000","12,238","256,281"
147,148,지누스,013890,"84,000","12,102","273,819"
148,149,LS,006260,"37,400","12,043","150,841"
149,150,대웅제약,069620,"102,500","11,876","199,913"
150,151,태영건설,009410,"15,500","11,842","1,021,701"
151,152,신풍제약,019170,"21,700","11,498","8,421,940"
152,153,한솔케미칼,014680,"97,500","11,013","60,124"
